"MN","N_half","prob_m1","prob_m2","prob_n1","prob_n2","preference","difference"
6,3,0,0,0,0,0.05,0.1
8,4,0,0,0,0,0.05,0.1
10,5,0,0,0,0,0.05,0.1
12,6,0,0,0,0,0.05,0.1
14,7,0,0,0,0,0.05,0.1
16,8,0,0,0,0,0.05,0.1
18,9,0,0,0,0,0.05,0.1
20,10,0,0,0,0,0.05,0.1
6,3,0.166666666666667,0.0833333333333333,0.175,0.0791666666666667,0.05,0.1
8,4,0.125,0.0625,0.13125,0.059375,0.05,0.1
10,5,0.1,0.05,0.105,0.0475,0.05,0.1
12,6,0.0833333333333333,0.0416666666666667,0.0875,0.0395833333333333,0.05,0.1
14,7,0.0714285714285714,0.0357142857142857,0.075,0.0339285714285714,0.05,0.1
16,8,0.0625,0.03125,0.065625,0.0296875,0.05,0.1
18,9,0.0555555555555556,0.0277777777777778,0.0583333333333333,0.0263888888888889,0.05,0.1
20,10,0.05,0.025,0.0525,0.02375,0.05,0.1
6,3,0.333333333333333,0.166666666666667,0.35,0.158333333333333,0.05,0.1
8,4,0.25,0.125,0.2625,0.11875,0.05,0.1
10,5,0.2,0.1,0.21,0.095,0.05,0.1
12,6,0.166666666666667,0.0833333333333333,0.175,0.0791666666666667,0.05,0.1
14,7,0.142857142857143,0.0714285714285714,0.15,0.0678571428571429,0.05,0.1
16,8,0.125,0.0625,0.13125,0.059375,0.05,0.1
18,9,0.111111111111111,0.0555555555555556,0.116666666666667,0.0527777777777778,0.05,0.1
20,10,0.1,0.05,0.105,0.0475,0.05,0.1
6,3,0.5,0.25,0.525,0.2375,0.05,0.1
8,4,0.375,0.1875,0.39375,0.178125,0.05,0.1
10,5,0.3,0.15,0.315,0.1425,0.05,0.1
12,6,0.25,0.125,0.2625,0.11875,0.05,0.1
14,7,0.214285714285714,0.107142857142857,0.225,0.101785714285714,0.05,0.1
16,8,0.1875,0.09375,0.196875,0.0890625,0.05,0.1
18,9,0.166666666666667,0.0833333333333333,0.175,0.0791666666666667,0.05,0.1
20,10,0.15,0.075,0.1575,0.07125,0.05,0.1
6,3,0.666666666666667,0.333333333333333,0.7,0.316666666666667,0.05,0.1
8,4,0.5,0.25,0.525,0.2375,0.05,0.1
10,5,0.4,0.2,0.42,0.19,0.05,0.1
12,6,0.333333333333333,0.166666666666667,0.35,0.158333333333333,0.05,0.1
14,7,0.285714285714286,0.142857142857143,0.3,0.135714285714286,0.05,0.1
16,8,0.25,0.125,0.2625,0.11875,0.05,0.1
18,9,0.222222222222222,0.111111111111111,0.233333333333333,0.105555555555556,0.05,0.1
20,10,0.2,0.1,0.21,0.095,0.05,0.1
6,3,0.833333333333333,0.416666666666667,0.875,0.395833333333333,0.05,0.1
8,4,0.625,0.3125,0.65625,0.296875,0.05,0.1
10,5,0.5,0.25,0.525,0.2375,0.05,0.1
12,6,0.416666666666667,0.208333333333333,0.4375,0.197916666666667,0.05,0.1
14,7,0.357142857142857,0.178571428571429,0.375,0.169642857142857,0.05,0.1
16,8,0.3125,0.15625,0.328125,0.1484375,0.05,0.1
18,9,0.277777777777778,0.138888888888889,0.291666666666667,0.131944444444444,0.05,0.1
20,10,0.25,0.125,0.2625,0.11875,0.05,0.1
6,3,1,0.5,1,0.475,0.05,0.1
8,4,0.75,0.375,0.7875,0.35625,0.05,0.1
10,5,0.6,0.3,0.63,0.285,0.05,0.1
12,6,0.5,0.25,0.525,0.2375,0.05,0.1
14,7,0.428571428571429,0.214285714285714,0.45,0.203571428571429,0.05,0.1
16,8,0.375,0.1875,0.39375,0.178125,0.05,0.1
18,9,0.333333333333333,0.166666666666667,0.35,0.158333333333333,0.05,0.1
20,10,0.3,0.15,0.315,0.1425,0.05,0.1
6,3,1,0.583333333333333,1,0.554166666666667,0.05,0.1
8,4,0.875,0.4375,0.91875,0.415625,0.05,0.1
10,5,0.7,0.35,0.735,0.3325,0.05,0.1
12,6,0.583333333333333,0.291666666666667,0.6125,0.277083333333333,0.05,0.1
14,7,0.5,0.25,0.525,0.2375,0.05,0.1
16,8,0.4375,0.21875,0.459375,0.2078125,0.05,0.1
18,9,0.388888888888889,0.194444444444444,0.408333333333333,0.184722222222222,0.05,0.1
20,10,0.35,0.175,0.3675,0.16625,0.05,0.1
6,3,1,0.666666666666667,1,0.633333333333333,0.05,0.1
8,4,1,0.5,1,0.475,0.05,0.1
10,5,0.8,0.4,0.84,0.38,0.05,0.1
12,6,0.666666666666667,0.333333333333333,0.7,0.316666666666667,0.05,0.1
14,7,0.571428571428571,0.285714285714286,0.6,0.271428571428571,0.05,0.1
16,8,0.5,0.25,0.525,0.2375,0.05,0.1
18,9,0.444444444444444,0.222222222222222,0.466666666666667,0.211111111111111,0.05,0.1
20,10,0.4,0.2,0.42,0.19,0.05,0.1
6,3,1,0.75,1,0.7125,0.05,0.1
8,4,1,0.5625,1,0.534375,0.05,0.1
10,5,0.9,0.45,0.945,0.4275,0.05,0.1
12,6,0.75,0.375,0.7875,0.35625,0.05,0.1
14,7,0.642857142857143,0.321428571428571,0.675,0.305357142857143,0.05,0.1
